Model Name,Accuracy,Recall,Precision,f1 score
logistic,0.8210666666666666,0.6319444444444444,0.7466666666666667,0.6845322049835448
random_forest,0.956,0.8802083333333334,0.9740634005763689,0.9247606019151847
XGBoost,0.9805333333333334,0.953125,0.9829901521933752,0.9678272366681356
SVM,0.9082666666666667,0.8263888888888888,0.8686131386861314,0.8469750889679716
